_id,Month,Vessel Type,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
3129,2020-03-01,Barges,1135.779,,702,,1.6179188034188035,
5014,2020-05-01,Barges,670.189,-40.99301008382793,418,-40.45584045584045,1.6033229665071769,-0.9021365522660529
