,Month,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
314,2021-03-01,239115.539,,7611,,31.417098804362105,
320,2021-09-01,217434.333,-9.067250957705419,6808,-10.550518985678625,31.93806301410106,1.6582187075358634
