_id,Month,Vessel Type,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
3430,2021-09-01,Barges,1193.571,,733,,1.6283369713506137,
5150,2021-10-01,Barges,1160.516,-2.7694205036817965,734,0.13642564802183177,1.5810844686648502,-2.9018872332408074
