_id,Month,Vessel Type,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
5094,2021-03-01,Barges,1396.04,,783,,1.7829374201787995,
3430,2021-09-01,Barges,1193.571,-14.503094467207244,733,-6.385696040868449,1.6283369713506137,-8.671109096621121
