,Month,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
320,2021-09-01,217434.333,,6808,,31.93806301410106,
321,2021-10-01,226323.346,4.088136807722997,6954,2.144535840188011,32.54577883232672,1.9027948500112357
