,Month,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
303,2020-04-01,371.146,,195,,1.9033128205128207,
315,2021-04-01,4265.658,1049.320752480156,160,-17.948717948717952,26.6603625,1300.7346670851903
