,Month,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
299,2019-12-01,6160.928,,4001,,1.53984703824044,
303,2020-04-01,371.146,-93.97581013769354,195,-95.12621844538866,1.9033128205128207,23.604018661990466
