_id,Month,Vessel Type,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
3125,2020-03-01,Tanker,90083.907,,2417,,37.270958626396364,
5012,2020-05-01,Tanker,78864.369,-12.454541963860422,2108,-12.78444352503103,37.41193975332069,0.37825999684504286
