_id,Month,Vessel Type,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
5092,2021-03-01,Tanker,88877.686,,2203,,40.34393372673627,
3426,2021-09-01,Tanker,81760.065,-8.008332935220652,1865,-15.342714480254195,43.839176943699734,8.663615304937755
