_id,Month,Vessel Type,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
3123,2020-03-01,Bulk Carrier,72028.168,,1446,,49.81201106500692,
5011,2020-05-01,Bulk Carrier,65048.537,-9.690140945969928,1290,-10.788381742738585,50.42522248062015,1.2310513117267163
