_id,Month,Vessel Type,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
5091,2021-03-01,Bulk Carrier,66268.485,,1329,,49.86341986455982,
3424,2021-09-01,Bulk Carrier,59860.562,-9.669638592160368,1165,-12.340105342362683,51.38245665236051,3.0463951167543746
