_id,Month,Vessel Type,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
3426,2021-09-01,Tanker,81760.065,,1865,,43.839176943699734,
5148,2021-10-01,Tanker,82368.501,0.7441725981993885,1908,2.3056300268096575,43.17007389937107,-1.5262673502925428
