,Month,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
309,2020-10-01,2805.867,,152,,18.459651315789475,
315,2021-04-01,4265.658,52.026379012262524,160,5.263157894736836,26.6603625,44.42506006164939
