,Month,Total Tonnage,% Change (Total Tonnage),# of Vessels,% Change (# of Vessels),Tonnage per Vessel,% Change (Tonnage per Vessel)
302,2020-03-01,249678.71000000002,,7882,,31.67707561532606,
304,2020-05-01,222866.71999999997,-10.73859681508289,6449,-18.180664805886828,34.55833772677934,9.095732656771084
